timestamp,28windspeed_100m (m/s),28cloudcover (%),28apparent_temperature (°C),57windspeed_100m (m/s),57cloudcover (%),57apparent_temperature (°C),68windspeed_100m (m/s),68cloudcover (%),68apparent_temperature (°C),70windspeed_100m (m/s),70cloudcover (%),70apparent_temperature (°C),82windspeed_100m (m/s),82cloudcover (%),82apparent_temperature (°C),83windspeed_100m (m/s),83cloudcover (%),83apparent_temperature (°C),84windspeed_100m (m/s),84cloudcover (%),84apparent_temperature (°C),92windspeed_100m (m/s),92cloudcover (%),92apparent_temperature (°C),95windspeed_100m (m/s),95cloudcover (%),95apparent_temperature (°C)
2023-07-08 17:00:00+00:00,2.36,98,16.34,1.25,91,22.68,2.18,29,19.58,1.78,94,18.38,2.23,41,16.41,3.69,83,15.88,2.96,3,29.03,0.97,31,25.54,2.94,65,15.16
2023-07-08 18:00:00+00:00,2.3,98,16.17,1.73,91,23.14,1.88,29,19.83,1.59,94,18.59,1.18,43,16.1,3.6,83,15.71,2.76,0,29.23,0.72,33,25.57,2.78,63,15.12
2023-07-08 19:00:00+00:00,1.94,98,15.87,1.08,93,22.04,0.61,25,19.35,1.38,81,18.23,1.15,54,15.81,3.16,77,15.5,2.26,9,28.19,1.1,45,24.64,2.42,50,15.03
2023-07-08 20:00:00+00:00,1.76,98,15.24,0.56,94,20.69,0.97,35,18.63,0.97,64,16.95,1.44,65,14.87,2.53,79,14.26,2.09,23,26.69,1.33,59,23.55,2.48,38,14.13
2023-07-08 21:00:00+00:00,1.65,92,13.64,0.98,95,19.23,1.76,36,17.69,0.92,48,15.55,1.29,75,13.25,2.3,77,12.39,1.59,43,24.16,1.04,72,21.95,2.43,25,12.38
2023-07-08 22:00:00+00:00,1.52,80,12.09,1.46,95,17.63,2.43,31,16.56,1.05,40,14.64,1.04,73,11.26,2.19,65,10.51,1.8,61,21.38,1.18,86,20.12,2.28,13,10.49
2023-07-08 23:00:00+00:00,1.45,67,10.31,1.63,89,14.99,2.42,29,15.37,0.85,37,14.24,1.21,84,10.1,2.05,48,8.5,1.88,75,18.53,1.35,99,17.98,2.16,0,8.29
2023-07-09 00:00:00+00:00,1.49,59,9.75,1.51,77,13.09,2.24,26,15.22,1.0,36,13.45,1.47,81,9.69,1.96,40,8.09,1.87,78,18.26,0.84,98,17.39,1.98,0,7.58
2023-07-09 01:00:00+00:00,1.67,46,9.31,1.58,7,12.36,2.0,14,15.35,1.12,49,13.37,1.64,85,9.46,1.81,0,7.78,1.79,36,17.78,1.56,93,17.3,1.91,0,7.08
2023-07-09 02:00:00+00:00,1.73,48,8.96,1.34,7,11.62,2.07,18,15.4,1.38,67,14.14,1.73,90,10.03,1.65,0,7.61,1.93,18,17.34,1.36,58,16.55,1.71,0,7.45
