timestamp,01windspeed_100m (m/s),01cloudcover (%),01apparent_temperature (°C),04windspeed_100m (m/s),04cloudcover (%),04apparent_temperature (°C),06windspeed_100m (m/s),06cloudcover (%),06apparent_temperature (°C),15windspeed_100m (m/s),15cloudcover (%),15apparent_temperature (°C),16windspeed_100m (m/s),16cloudcover (%),16apparent_temperature (°C),17windspeed_100m (m/s),17cloudcover (%),17apparent_temperature (°C),21windspeed_100m (m/s),21cloudcover (%),21apparent_temperature (°C),23windspeed_100m (m/s),23cloudcover (%),23apparent_temperature (°C),24windspeed_100m (m/s),24cloudcover (%),24apparent_temperature (°C),25windspeed_100m (m/s),25cloudcover (%),25apparent_temperature (°C),39windspeed_100m (m/s),39cloudcover (%),39apparent_temperature (°C),49windspeed_100m (m/s),49cloudcover (%),49apparent_temperature (°C),50windspeed_100m (m/s),50cloudcover (%),50apparent_temperature (°C),66windspeed_100m (m/s),66cloudcover (%),66apparent_temperature (°C),74windspeed_100m (m/s),74cloudcover (%),74apparent_temperature (°C),84windspeed_100m (m/s),84cloudcover (%),84apparent_temperature (°C),94windspeed_100m (m/s),94cloudcover (%),94apparent_temperature (°C)
2023-07-08 17:00:00+00:00,1.09,100,31.25,2.31,59,27.92,1.09,100,31.24,1.01,95,29.85,4.81,4,22.13,5.54,12,20.64,4.27,0,27.09,1.42,49,28.66,0.91,53,27.82,5.58,2,23.22,1.97,98,30.87,0.9,14,33.1,0.99,73,24.99,0.97,13,30.14,2.88,57,31.7,0.99,73,24.99,2.56,73,25.46
2023-07-08 18:00:00+00:00,1.69,100,32.12,2.69,57,27.8,1.69,100,32.09,1.31,94,30.55,4.05,4,22.31,4.33,14,20.3,4.31,0,27.21,1.52,47,28.83,0.44,51,27.64,4.96,2,23.37,1.23,98,32.01,2.62,17,33.74,1.89,73,24.4,3.19,0,31.43,4.07,56,32.77,1.89,73,24.4,2.32,74,25.2
2023-07-08 19:00:00+00:00,2.72,86,30.19,2.47,46,27.15,2.72,86,30.18,2.51,84,28.99,3.79,3,21.43,3.54,12,19.72,3.76,0,26.19,1.45,38,27.79,0.1,41,27.1,4.72,2,22.55,2.13,84,30.04,3.82,34,31.88,2.04,74,23.98,0.64,20,29.89,5.2,65,30.95,2.04,74,23.98,1.6,78,24.65
2023-07-08 20:00:00+00:00,2.85,67,27.73,2.05,34,26.43,2.85,67,27.71,2.47,65,27.01,3.77,2,19.63,3.47,11,18.17,2.83,0,23.56,1.35,28,25.97,1.03,31,26.24,4.62,1,20.9,2.62,65,27.69,3.95,50,29.3,1.81,80,23.6,1.8,40,28.33,1.47,74,28.62,1.81,80,23.6,1.21,80,23.81
2023-07-08 21:00:00+00:00,3.07,47,25.17,1.92,23,24.23,3.07,47,25.14,2.45,46,24.06,3.8,2,17.77,3.13,9,16.5,2.63,1,20.7,1.52,20,23.75,2.07,20,24.27,4.6,1,18.98,2.73,46,25.04,3.96,64,26.52,1.59,84,22.71,1.03,42,25.01,1.14,82,25.57,1.59,84,22.71,1.09,76,22.08
2023-07-08 22:00:00+00:00,3.07,27,21.98,1.77,12,22.16,3.07,27,21.97,2.39,28,20.77,3.98,1,16.02,2.78,7,14.68,2.5,2,17.85,1.91,12,21.15,1.85,11,21.59,4.68,0,17.09,2.6,26,21.83,3.8,67,23.94,1.69,81,20.48,1.06,50,22.15,1.12,90,23.25,1.69,81,20.48,0.67,64,19.94
2023-07-08 23:00:00+00:00,3.11,7,18.5,2.1,2,19.57,3.11,7,18.49,2.65,9,17.79,3.53,0,14.27,2.22,4,12.87,2.28,1,14.83,2.32,4,17.91,1.17,7,18.64,3.92,13,14.99,2.64,7,18.44,3.65,76,21.61,1.49,68,17.67,1.3,71,19.38,1.06,90,19.66,1.49,68,17.67,0.88,55,18.0
2023-07-09 00:00:00+00:00,3.05,6,18.0,1.89,4,18.34,3.05,6,17.97,2.61,7,17.31,3.42,7,13.9,2.06,3,12.69,2.27,1,14.65,2.25,10,17.28,1.49,7,18.23,4.14,26,14.82,2.58,5,17.91,3.45,74,20.8,0.98,60,16.89,1.05,76,19.16,1.1,92,19.56,0.98,60,16.89,1.28,62,17.87
2023-07-09 01:00:00+00:00,2.48,0,17.48,1.45,36,17.67,2.48,0,17.47,2.42,0,16.72,3.54,73,13.91,1.84,0,12.27,2.33,0,14.36,2.01,95,17.0,2.2,99,17.9,4.19,100,14.96,2.3,0,17.42,3.15,75,20.13,0.99,50,16.32,1.17,100,18.95,1.08,100,19.35,0.99,50,16.32,1.15,30,16.81
2023-07-09 02:00:00+00:00,2.1,0,16.94,1.53,68,17.55,2.1,0,16.92,2.37,2,16.37,3.59,87,14.16,1.67,0,11.99,1.89,0,14.03,2.1,98,16.97,2.29,99,17.53,4.48,100,15.07,1.95,3,16.96,2.75,57,19.8,1.29,40,16.0,1.0,100,18.78,1.17,100,19.28,1.29,40,16.0,1.52,18,16.28
2023-07-09 03:00:00+00:00,2.27,2,16.54,1.74,67,17.21,2.27,2,16.51,2.05,4,15.91,3.71,91,14.34,2.17,0,11.87,1.7,0,13.88,2.28,95,16.52,2.31,99,17.17,4.31,100,15.16,1.91,4,16.53,2.65,70,19.99,1.2,58,15.65,0.55,100,18.56,1.14,100,19.23,1.2,58,15.65,1.51,40,15.77
2023-07-09 04:00:00+00:00,2.33,3,17.11,2.1,52,17.52,2.33,3,17.1,2.24,5,16.51,3.42,93,14.87,2.35,0,13.1,1.64,0,14.95,2.43,72,16.83,2.22,86,17.42,4.4,100,15.4,2.12,4,17.08,2.56,78,20.07,1.21,67,16.07,0.43,100,18.72,0.93,100,19.18,1.21,67,16.07,1.37,31,15.88
2023-07-09 05:00:00+00:00,2.51,7,19.12,1.81,42,19.77,2.51,7,19.11,2.42,19,18.52,3.88,95,16.36,2.18,0,16.17,2.04,1,17.13,2.34,59,19.13,1.97,69,19.81,4.63,88,16.92,2.27,19,19.11,2.57,74,20.88,1.33,70,18.08,0.29,100,20.48,0.78,100,20.8,1.33,70,18.08,1.64,26,17.98
2023-07-09 06:00:00+00:00,2.81,12,21.58,1.87,35,22.21,2.81,12,21.57,2.62,33,21.1,4.63,93,18.47,2.38,1,18.97,2.02,2,19.7,2.76,62,21.76,2.17,57,22.39,4.93,74,19.06,2.35,32,21.69,2.56,73,22.87,1.91,62,20.36,0.65,100,22.58,0.75,100,23.15,1.91,62,20.36,1.86,24,20.41
2023-07-09 07:00:00+00:00,2.51,64,24.23,2.38,11,24.47,2.51,64,24.22,2.6,40,24.02,5.03,10,20.45,2.5,80,21.61,2.05,43,22.05,3.42,100,24.02,3.03,3,24.58,5.2,13,21.31,2.21,28,24.5,2.72,46,24.99,1.88,15,22.6,0.86,100,24.6,1.41,100,25.4,1.88,15,22.6,2.05,11,22.54
2023-07-09 08:00:00+00:00,2.3,35,26.64,2.7,10,26.72,2.3,35,26.63,2.41,24,26.63,5.47,19,21.96,2.75,46,24.04,2.03,43,24.39,3.47,100,26.28,3.27,4,26.85,5.3,18,23.36,2.07,15,27.06,3.06,30,26.5,1.86,26,24.72,1.48,100,27.71,1.19,93,28.31,1.86,26,24.72,2.14,34,24.63
2023-07-09 09:00:00+00:00,2.24,24,27.83,3.05,7,27.83,2.24,24,27.82,2.42,18,27.75,5.62,33,23.17,2.6,48,26.33,1.85,58,26.61,3.51,92,27.69,3.2,7,28.22,5.59,45,24.9,2.03,12,28.44,2.78,26,28.63,1.63,20,27.23,1.89,100,29.41,1.31,96,30.08,1.63,20,27.23,2.07,53,26.58
2023-07-09 10:00:00+00:00,2.23,19,28.89,3.01,5,29.06,2.23,19,28.88,2.47,16,28.89,5.82,42,24.37,2.39,61,26.86,1.78,68,27.65,3.39,74,28.78,2.98,9,29.46,5.07,57,26.58,2.01,10,29.55,2.77,29,29.94,1.37,18,28.63,1.91,100,31.07,1.32,97,31.64,1.37,18,28.63,2.13,58,28.52
2023-07-09 11:00:00+00:00,1.76,15,29.78,2.93,5,29.94,1.76,15,29.76,1.96,13,29.88,5.45,49,25.42,1.92,69,27.74,1.63,75,28.7,3.29,62,29.87,2.72,12,30.51,4.32,63,27.57,1.43,8,30.88,2.32,26,30.67,1.33,15,29.52,2.34,100,32.33,1.42,97,32.79,1.33,15,29.52,2.1,55,29.49
2023-07-09 12:00:00+00:00,1.57,13,30.28,2.72,6,30.55,1.57,13,30.27,1.09,12,31.08,5.29,54,26.51,2.14,74,28.48,1.33,79,29.66,3.25,68,30.37,2.36,13,31.17,3.95,68,28.18,1.25,7,31.59,2.29,28,31.27,1.38,13,29.95,2.5,87,33.26,1.62,95,33.27,1.38,13,29.95,1.86,49,30.11
2023-07-09 13:00:00+00:00,2.24,3,30.4,2.53,71,31.0,2.24,3,30.39,0.46,8,31.63,5.15,100,26.75,2.88,72,28.91,0.76,98,30.51,2.94,100,30.7,1.9,12,31.68,3.19,100,28.51,2.08,5,31.18,2.1,82,31.59,1.9,6,29.89,2.42,23,33.83,2.04,86,33.32,1.9,6,29.89,1.84,6,30.32
2023-07-09 14:00:00+00:00,2.69,4,30.51,2.55,85,31.02,2.69,4,30.5,0.93,10,31.43,5.36,100,26.63,4.43,43,28.26,0.15,53,30.87,2.35,100,31.05,1.58,13,32.03,2.19,100,28.46,2.47,9,30.96,1.16,47,32.11,2.07,19,29.85,1.71,62,34.06,2.65,84,33.39,2.07,19,29.85,2.22,19,30.57
2023-07-09 15:00:00+00:00,2.44,7,30.34,2.59,89,31.06,2.44,7,30.32,1.67,26,30.85,5.58,100,25.54,5.41,33,27.24,0.62,38,30.58,2.0,100,31.22,1.54,14,31.97,0.83,100,28.21,2.29,13,30.81,1.89,65,31.91,1.65,31,29.68,1.11,74,31.9,3.12,88,33.11,1.65,31,29.68,2.08,22,30.73
2023-07-09 16:00:00+00:00,1.72,19,30.01,2.77,71,30.84,1.72,19,30.0,1.75,37,30.51,5.63,100,24.61,6.05,28,26.52,0.92,48,29.82,1.59,100,30.99,1.77,24,31.79,1.92,100,27.25,2.05,34,30.37,2.94,60,31.78,1.14,38,29.44,14.68,81,22.22,4.16,90,30.89,1.14,38,29.44,2.22,20,30.27
2023-07-09 17:00:00+00:00,1.8,25,29.81,3.77,61,30.2,1.8,25,29.78,2.24,44,30.1,5.04,100,23.16,5.89,42,25.07,1.89,58,29.28,1.14,100,31.6,1.79,31,31.57,2.94,94,25.32,2.13,44,29.94,3.57,67,28.24,1.41,46,29.6,1.46,85,20.43,3.45,75,31.69,1.41,46,29.6,2.63,20,29.65
2023-07-09 18:00:00+00:00,2.56,36,27.69,3.3,57,27.96,2.56,36,27.68,3.37,51,27.51,4.33,86,21.53,5.66,52,22.8,2.53,62,26.33,1.5,96,29.43,1.83,27,29.83,3.2,93,23.17,2.08,53,27.43,4.74,72,18.76,1.56,51,26.96,2.05,87,20.4,2.75,79,28.91,1.56,51,26.96,1.53,17,26.57
2023-07-09 19:00:00+00:00,2.36,6,27.18,2.98,35,28.6,2.36,6,27.17,2.82,15,29.73,5.58,84,21.87,3.64,95,21.25,2.94,15,24.84,2.29,100,28.16,2.34,57,27.55,2.77,100,23.14,2.47,6,28.88,0.42,100,20.03,2.14,8,25.64,0.37,0,24.76,2.57,48,30.05,2.14,8,25.64,2.42,6,22.52
2023-07-09 20:00:00+00:00,2.74,7,26.2,2.83,38,27.68,2.75,7,26.19,3.16,22,28.27,4.42,86,21.52,3.81,86,20.47,3.03,16,24.03,2.16,100,27.35,3.06,60,27.05,1.01,100,22.54,2.78,8,27.77,0.59,100,19.99,2.13,10,24.88,5.82,20,23.79,2.02,53,29.01,2.13,10,24.88,2.01,6,22.35
